id,raw_text,translation,expected_external_code,name_ru,name_az,source
Б15,272 mator,Двигатель 272,MU-001,Двигатель в сборе,Mühərrik,подтверждено вручную
Б20,avtopasos orginal,Оригинальный автоподсос,MU-088,Датчик холостого хода,Boş gediş datçiki,подтверждено второй проверкой
Б22,Peçin şlanqlarındakı plasamas traynik lazımdı. Qabaqla arxa peçi birləşdirən.,Пластиковый тройник на шлангах печки,SO-035,Тройник патрубка печи,Peç troyniki,подтверждено вручную
Б24,3 çıxışlı tranik,Тройник с тремя выходами,SO-035,Тройник патрубка печи,Peç troyniki,подтверждено второй проверкой
Б25,partklenikler sag sol qabağ,Передние правый и левый подкрылки,KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
Б26,"ABŞ daççiki qabağdan sol tərəf, uzunluğu 1 metr 20 santıdır","Датчик ABS, передний левый, 1 м 20 см",EY-011,Датчик ABS,ABS datçiki,подтверждено вручную
Б27,Soyutma şlanqları,Шланги охлаждения,SO-009,Патрубок системы охлаждения,"Soyutma şlanqı (su, antifriz)",подтверждено вручную
Б28,Shell 5w40  1letr,"Shell 5W-40, 1 литр",SR-001,Моторное масло,Mühərrik yağı,подтверждено вручную
Б34,Karopka(elektron),Электронная коробка передач,TR-001,Коробка передач в сборе,Sürətlər qutusu,подтверждено вручную
Б37,"2024600319 Kodlu detal
Mayatnik",2024600319 / маятник,SU-018,Маятниковый рычаг,Mayatnik qolu,подтверждено второй проверкой
Б38,Piribor,Приборная панель,EL-038,Панель приборов (щиток),Cihazlar paneli (şit),подтверждено вручную
Б39,Detalı kodu budu 71800-T20-A00; sağ sərnişin tərəfdən çöl plastik podnojka,"71800-T20-A00, наружная пластиковая подножка справа",TY-001,Порог-подножка (running board),Padnoşka (pilləkən),подтверждено вручную
Б44,11519455978 pompa,Помпа 11519455978,SO-006,Водяная помпа,Su pompası,подтверждено вручную
Б45,bobinin konnektoru,Коннектор катушки зажигания,EL-032,Проводка/разъёмы,Naqillər/ştekerlər (provodka),подтверждено второй проверкой
Б47,Kampressorun kranşteyni,Кронштейн компрессора,SO-036,Кронштейн компрессора кондиционера,Kondisioner kompressorunun kronşteyni,подтверждено вручную
Б48,QAPININ ÜSTÜ NİKEL KANTLAR,Никелированные накладки сверху дверей,KZ-038,Хром-кант/окантовка,Kant (xrom kant),подтверждено вручную
Б49,adsorber,Адсорбер,YA-007,Система EVAP (адсорбер),EVAP sistemi/klapanı (yanacaq kömürü),подтверждено вручную
Б51,Natejnoy,Натяжитель,MU-022,Натяжитель ремня,Natijitel (natyajnoy),подтверждено вручную
Б54,krank mili sensoru,Датчик коленвала,MU-040,Датчик коленвала,Kalenval datçiki,подтверждено вручную
Б56,Ön bujer,Передняя свеча,SR-014,Свеча зажигания,Alışdırma şamı (sveça),подтверждено второй проверкой
Б59,Sol arxa top,Левая задняя шаровая,AS-010,Шаровая опора,Şaravoy (kula opora),подтверждено вручную
Б63,"Arxa demir,qeza qoruyucu",Задняя металлическая защита от удара,KZ-043,Усилитель бампера (силовая балка),Bufer gücləndiricisi (arma),подтверждено вручную
Б65,Meguin 0/20,Meguin 0W-20,SR-001,Моторное масло,Mühərrik yağı,подтверждено вручную
Б66,vaqaj s class w220 Və s500 yazısı,Надписи S-Class W220 и S500 на багажник,KZ-039,Эмблема/логотип,Emblema/logo,подтверждено вручную
Б67,Suse silen,Стеклоочиститель,AK-010,Щётка стеклоочистителя,Şüşə silən (əl/pərdə),подтверждено вручную
Б68,Pad udarniklər,Отбойники,AS-005,Отбойник хода сжатия,Otboynik,подтверждено вручную
Б71,Dumanlı sağ teref üstden çixma yada pad arginal,Правая противотуманная фара,KZ-006,Противотуманная фара,Duman fara,подтверждено вручную
Б76,Karopka yağı,Масло коробки передач,SR-005,Трансмиссионное масло,Karopka yağı (mexanika/avtomat),подтверждено вручную
Б77,Hava filitirinin şlanqı,Шланг воздушного фильтра,MU-089,Патрубок воздуховода,Hava borusu (patrubok),подтверждено вручную
Б78,Rulavuy,Рулевая,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
Б82,Sağ ön qabının mebel plasması,Пластик правой передней части,KZ-019,Обшивка двери (карта),Qapı kartası,подтверждено вручную
Б86,Сеп мотора,Цепь двигателя,MU-055,Цепь ГРМ,Zəncir (vaxtlama zənciri),подтверждено вручную
Б87,Cilamete control,Климат-контроль,EL-019,Блок управления климат-контролем,Kondisioner idarəetmə bloku (klimat kontrol),подтверждено вручную
Б89,Reduktor yagi origina byd,Масло редуктора BYD,SR-005,Трансмиссионное масло,Karopka yağı (mexanika/avtomat),подтверждено вручную
Б90,Link Limforder,Link Lemforder,AS-011,Стойка стабилизатора,Sırğa (stabilizator lingi),подтверждено вручную
Б92,ремен 7PK1870,Ремень 7PK1870,MU-020,Приводной (генераторный) ремень,Çöl remen (dinamo remeni),подтверждено вручную
Б94,Arxa naklatka,Задние колодки,EY-001,Тормозная колодка,Naklatka (əyləc bəndi),подтверждено вручную
Б95,Podlokotnik,Подлокотник,AK-033,Центральный бокс (барсетка/подлокотник-бокс),Barsetka (mərkəzi konsol qutusu),подтверждено вручную
Б97,Aktaturun beyini,Блок управления актуатором,EL-080,Блок управления актуатором,Aktuator idarəetmə bloku,подтверждено вручную
Б99,Qaranlıq sensoru. Şitin üstundə olan.,Датчик света сверху панели,EL-081,Датчик освещённости,İşıq sensoru,подтверждено вручную
Б102,Sifeçaların başliq muşduyler,Наконечники свечей,MU-026,Наконечник катушки/колпачок свечи,Kalyan (bobin başlığı),подтверждено вручную
Б103,e60 ccc dvd blok,Блок CCC DVD E60,AU-003,Магнитола (головное устройство),Maqnitafon (baş qurğu),подтверждено вручную
Б104,Yanacaq tənzimləyən,Регулятор топлива,YA-010,Регулятор давления топлива,Yanacaq təzyiq requlyatoru,подтверждено вручную
Б105,Rulavoy,Рулевая,SU-006,Рулевая рейка,Rulevoy reyka (dişli qutusu),подтверждено второй проверкой
Б106,Afdopasos,Автоподсос,MU-088,Датчик холостого хода,Boş gediş datçiki,подтверждено второй проверкой
Б110,311110M000 Kantli sonatanin 2 motor benzonasos Nasosun ozu lazimdi,"311110M000, бензонасос Sonata 2.0",YA-001,Топливный насос,Benzin nasosu (yanacaq nasosu),подтверждено вручную
Б111,Turbonun Patrubkası,Патрубок турбины,MU-089,Патрубок воздуховода,Hava borusu (patrubok),подтверждено второй проверкой
Б116,Kia rio ust patrufqasi,Верхний патрубок Kia Rio,SO-009,Патрубок системы охлаждения,"Soyutma şlanqı (su, antifriz)",подтверждено второй проверкой
Б117,Pribor lazımdır,Приборная панель,EL-038,Панель приборов (щиток),Cihazlar paneli (şit),подтверждено вручную
Б119,salonun parçadan olan siymelu gunkecirmezi lukun alt hissesinde olur,Тканевая солнцезащитная шторка салона под люком,KZ-072,Шторка люка,Lyuk pərdəsi,подтверждено вручную
Б121,Ön şüşənin aşağısında ki plasmas,Пластик под передним лобовым стеклом,KZ-053,Водосток лобового стекла (жабо),Ön şüşə su axarı (jabo),подтверждено вручную
Б123,Prista ultra plus 5w-40 neciyedi qiymeti,Prista Ultra Plus 5W-40,SR-001,Моторное масло,Mühərrik yağı,подтверждено вручную
Б124,Bmw m50 avtopasos,"BMW M50, автоподсос",MU-088,Датчик холостого хода,Boş gediş datçiki,подтверждено второй проверкой
Б126,Spoiler,Спойлер,KZ-036,Спойлер,Spoyler,подтверждено вручную
Б127,Şüşəsilənlər (dvornik),Стеклоочистители (дворники),AK-010,Щётка стеклоочистителя,Şüşə silən (əl/pərdə),подтверждено вручную
Б132,Qapinin nikkel kantlari,Никелированные накладки дверей,KZ-094,Молдинг двери (хромированная накладка),Qapı moldinqi (xrom naklatka),поправлено при второй проверке
Б134,Orta hava yeri,Центральный воздуховод,KZ-057,Решётка воздуховода (дефлектор панели),Peçin barmaqlıqları (ventilyasiya barmaqlığı),подтверждено вручную
Б136,Sol kirla,Левое крыло,KZ-027,Крыло,Krılo (qanad),подтверждено вручную
Б140,Передняя опора двигателя,Передняя опора двигателя,MU-017,Подушка двигателя,Mühərrik yastığı,подтверждено вручную
Б141,Alt dummanı,Нижняя противотуманная фара,KZ-006,Противотуманная фара,Duman fara,подтверждено вручную
Б143,32700-3K070 — PEDAL ASSY - ACCELERATOR,Педаль акселератора 32700-3K070,EL-026,Электронная педаль газа,Elektron qaz pedalı,подтверждено вручную
